ID,Pm,Po,Ps,hm,hs,Lmotive,DmotiveIn,DmotiveOut,Dthroat,alphaMotiveDiff,alphaMotiveConv,ThicknessNozzle,Lmch,alphaSuction,Dmix,Lmix,alphadiff, DdiffOut,Loutlet,ConvergenceIndicator,CrashIndicator,Experiment_model_type,mfr_m,mfr_s,mfr_o,mfr_err,uni_alpha,uni_vel,ds1
34,11557083.333333334,5678250.0,4678750.0,263275.0,424066.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,1,HEM,1,1,1,100,1,1,1
35,12163750.0,4471083.333333333,3567250.0,258025.0,422200.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,1,HEM,1,1,1,100,1,1,1
36,11437916.666666668,5845083.333333333,5025250.0,256975.0,396333.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.13697524,0.17328486,0.37466274,0.68492284,0.99832488,0.90241987,0.08435264969944356
37,10928750.0,4955916.666666667,4399750.0,286075.0,451000.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.11050633,0.034297944,-0.20519759,-0.060393316,0.99775357,0.97415188,0.01798902205259987
38,13528750.0,6174250.0,5083750.0,316675.0,437666.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.11979428,0.096828695,-0.2166642,-4.122500000000584e-05,0.99999864,0.93784412,0.0035023640941687344
39,9130416.666666666,4158416.666666667,3126250.0,272725.0,388200.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.094780715,-0.019357566,-0.075440225,-1.7076000000004754e-05,0.99999982,0.9551024,0.00486518309387307
40,10473750.0,6020250.0,5398750.0,275275.0,436600.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.11208417,0.094553865,-0.20663935,-1.3150000000017315e-06,0.99999882,0.96404387,0.00291013780801094
41,11264583.333333334,4585916.666666667,3490750.0,273775.0,431266.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.12304237,0.033361814,-0.1560545,0.000349683999999989,0.99999971,0.95010232,0.004059895992819608
42,8534583.333333334,4500083.333333333,4170250.0,258175.0,388333.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.096542743,0.10404574,-0.19356364,0.007024842999999975,0.99999991,0.97757705,0.01097824159158611
43,10365416.666666668,5062750.0,4854250.0,306475.0,434466.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.09040891,0.12992417,-0.22032702,6.060000000002175e-06,0.99999993,0.98199556,0.0021588289867558183
44,8079583.333333333,3861916.6666666665,3508750.0,291025.0,445533.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.065255709,0.075212508,-0.1404715,-3.2829999999928194e-06,0.99999998,0.97210677,0.003255982848464488
45,8523750.0,6110250.0,4732750.0,334525.0,409266.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.057128782,-0.17201892,0.11489015,1.2000000007561518e-08,0.99999998,0.99914217,0.08467181308586637
46,8393750.0,5733750.0,5322250.0,300775.0,436066.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.06527064,0.029530308,-0.094818176,-1.7227999999994137e-05,0.99998805,0.93963135,0.0032892842183312597
47,9953750.0,4920583.333333333,4660750.0,338875.0,421400.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.071195774,0.12953336,-0.20071456,1.4573999999989429e-05,0.99999995,0.97785613,0.0007858918717731187
48,12001250.0,4197916.666666667,4012750.0,274375.0,400066.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,1,HEM,1,1,1,100,1,1,1
49,11936250.0,6130750.0,4809250.0,328825.0,415000.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.097111671,-0.029917568,-0.067195418,-1.3150000000017315e-06,0.9999997,0.94625369,0.003592020400097507
50,13301250.0,3954583.3333333335,2959750.0,322075.0,418600.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.11441136,0.067629348,-0.18449344,-0.002452732000000013,0.99999404,0.95486349,0.0009748654096950952
51,9737083.333333334,3301916.6666666665,3004750.0,297775.0,454333.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.086802907,0.077268935,-0.1693425,-0.005270658000000011,0.99996533,0.97720451,0.002062893482663649
52,13680416.666666668,3606916.6666666665,3463750.0,273025.0,426866.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.15019492,0.083540124,-0.24488986,-0.011154815999999984,0.99998418,0.95306917,0.009244070026074486
53,12705416.666666668,5894416.666666667,5457250.0,272875.0,448066.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.14004189,-0.098269117,0.062267597,0.10404037,0.99999914,0.99239245,0.13337328448214977
54,9769583.333333334,4696250.0,4102750.0,253525.0,394200.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,1,HEM,1,1,1,100,1,1,1
55,10051250.0,3307416.6666666665,2982250.0,271225.0,412066.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.10933094,0.072521529,-0.18410134,-0.0022488709999999856,0.99999906,0.95959534,0.0026984045604107995
56,12087916.666666668,4704583.333333333,4066750.0,251125.0,432866.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,1,HEM,1,1,1,100,1,1,1
57,10517083.333333334,3477750.0,3171250.0,276775.0,447800.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.11158765,0.075217791,-0.17833074,0.008474701000000029,0.99998611,0.96556965,0.004380198809678334
58,12369583.333333334,6467416.666666667,5043250.0,268825.0,423533.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,1,HEM,1,1,1,100,1,1,1
59,12510416.666666668,6246916.666666667,5263750.0,301225.0,384600.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.11891961,0.096860804,-0.21581787,-3.745600000001903e-05,0.99999961,0.93260581,0.002544016079597012
60,11752083.333333332,4609250.0,4183750.0,336175.0,446200.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.091813989,0.11689193,-0.20871076,-4.840999999977669e-06,0.99999849,0.97647875,0.0019188935896239884
61,11827916.666666668,5240583.333333333,4714750.0,306775.0,449000.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.10798674,0.11738428,-0.22535676,1.4259999999988171e-05,0.99999664,0.97659379,0.003082065620738446
62,7819583.333333333,4155250.0,3715750.0,307825.0,432333.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.056669318,0.052494281,-0.10919109,-2.7491000000004484e-05,0.99999994,0.93142163,0.001353120809046562
63,12488750.0,6223083.333333334,4773250.0,316075.0,391000.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.10966444,-0.032470782,-0.077195091,-1.4329999999951326e-06,0.99999965,0.94598606,0.0036302688318118293
64,9368750.0,4544083.333333334,3423250.0,319525.0,404333.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.070679545,-0.051320793,-0.019359225,-4.7300000000777276e-07,0.99999994,0.946938,0.0044547146103480284
65,8837916.666666668,3826916.666666667,3193750.0,271375.0,430200.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.091128641,0.048715382,-0.1398674,-2.3377000000018855e-05,0.99999979,0.95091438,0.005101825010270066
66,9357916.666666668,5648916.666666667,4525750.0,327775.0,390733.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.067618328,-0.091450903,0.023832504,-7.099999999385376e-08,0.99999998,0.99875607,0.14403298839954226
67,11210416.666666666,5464250.0,4534750.0,302125.0,438200.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.10365995,0.045325,-0.14901617,-3.121999999999847e-05,0.99999942,0.9342159,0.004581529654536837
68,7776250.0,4324916.666666667,3607750.0,324025.0,400333.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.052850018,-0.024679624,-0.028170626,-2.3200000000278553e-07,0.99999988,0.94543595,0.0033988559646053215
69,7841250.0,6063416.666666667,5178250.0,269875.0,445400.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.074717736,-0.14054672,0.065825911,-3.0730000000062097e-06,0.99999998,0.99909099,0.2922805494198738
70,13225416.666666668,4324416.666666667,3054250.0,280075.0,407266.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.14062404,0.053817055,-0.19488954,-0.00044844499999999177,0.99999895,0.96094471,0.0014865939617557345
71,12120416.666666668,4423250.0,3283750.0,274225.0,389533.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.1326843,0.053207036,-0.18457325,0.0013180860000000238,0.99999975,0.95332122,0.0019000625272129247
72,9292916.666666668,4302583.333333334,2887750.0,251425.0,406466.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,1,HEM,1,1,1,100,1,1,1
73,12597083.333333332,4532750.0,3225250.0,321325.0,449933.3333333334,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.10782763,0.016185574,-0.12643321,-0.0024200060000000023,0.99999755,0.96394545,0.006696527510227578
74,10961250.0,3277750.0,3153250.0,256375.0,395133.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,1,HEM,1,1,1,100,1,1,1
75,10072916.666666668,4187916.666666667,3526750.0,255025.0,401666.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.12131443,0.093142312,-0.20347355,0.010983192000000003,0.99999971,0.9687438,0.006285331235143932
76,7927916.666666667,4798750.0,4422250.0,307675.0,429266.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.057751435,0.054466802,-0.11229636,-7.812299999999939e-05,0.99999529,0.93404537,0.003669658885527326
77,9791250.0,3999083.3333333335,3585250.0,314275.0,454066.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.07864239,0.094617833,-0.17325477,5.452999999988606e-06,0.99999981,0.97311384,0.0026331970063877626
78,11253750.0,5824250.0,4579750.0,283075.0,454466.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,1,HEM,1,1,1,100,1,1,1
79,9271250.0,3944416.6666666665,3549250.0,265225.0,458600.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.10267275,0.065901696,-0.24524594,-0.076671494,0.9999632,0.944022,0.0046615814070641625
80,12131250.0,5366916.666666667,4138750.0,311875.0,451666.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.10830662,0.014982998,-0.12334071,-5.109200000000258e-05,0.99999649,0.94817159,0.006341920525840208
81,13463750.0,4976416.666666667,3972250.0,288175.0,459666.6666666667,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,0,0,HEM,0.13757273,0.095049732,-0.22435666,0.008265801999999989,0.99999881,0.94026897,0.0024804422547302445
82,10018750.0,4650916.666666667,3940750.0,262225.0,439133.3333333334,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,1,HEM,1,1,1,100,1,1,1
83,8729583.333333334,4798083.333333334,3369250.0,292975.0,406200.0,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.074233979,-0.12916416,0.054929374,-8.069999999915645e-07,0.99999995,0.99904836,0.21669320126798228
84,13940416.666666668,5098750.0,4764250.0,288625.0,410333.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,2,1,HEM,1,1,1,100,1,1,1
85,11427083.333333334,6028916.666666667,5479750.0,304675.0,443533.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.10467582,0.12067321,-0.22534768,1.3500000000110646e-06,0.99999983,0.97414825,0.0022407614063507187
86,8090416.666666667,4135750.0,2856250.0,303775.0,415133.3333333333,0.017294601431235054,0.01,0.00152,0.00141,3.0,35.0,0.0012,0.0042,42.0,0.004,0.026,6.0,0.012,0.02,1,0,HEM,0.060530451,-0.10107246,0.040540945,-1.0640000000020078e-06,0.99999997,0.99899993,0.22335819412215746
