Pm,Po,Ps,hm,hs,LintletConst,DmotiveIn,DmotiveOut,Dthroat,alphaMotiveDiff,alphaMotiveConv,Lmch,alphaSuction,Lsuction,Dmix,Lmix,alphadiff,DdiffOut,Loutlet,Dsuc,ThicknessNozzle,ThicknessNozzleOuter,SimulatedIndicator,ConvergenceIndicator,CrashIndicator,Experiment_model_type,MeshRefinement,mfr_m,mfr_s,mfr_o,mfr_err,uni_alpha,uni_vel,ds1,eff
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00162964275,0.00141,3.0,35.0,0.0042,42.0,0.02,0.002295525,0.018196798839375,9.31475,0.010108860830625,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,0.076916353,0.0063300407,-0.083995544,-0.0007491503,0.98093795,0.98093795,0.1134266474368777,0.0479491268714655
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00188527575,0.00141,3.0,35.0,0.0042,42.0,0.02,0.001566225,0.014840804143125,76.29024999999999,0.015627049093125,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,0.076611511,-0.026442631,-0.049247484,0.0009213959999999,0.96791242,0.96791242,0.0878532051035028,-0.2010960413552593
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00159509775,0.00141,3.0,35.0,0.0042,42.0,0.02,0.005633475,0.048033683750625,10.21375,0.021516353578125,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.077762513,-0.052301281,-0.025462041,-8.089999999939812e-07,0.99956392,0.99956392,0.0617942936315039,-0.391863599956806
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00200963775,0.00141,3.0,35.0,0.0042,42.0,0.02,0.002968725,0.004997329010625,85.28025,0.015475443898125,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.077038461,0.011644166,-0.088683257,-6.300000000014627e-07,0.9093198,0.9093198,0.0437964998534101,0.088063040231643
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00177818625,0.00141,3.0,35.0,0.0042,42.0,0.02,0.006194475,0.0401310611493749,8.415750000000001,0.044820588448125,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.077815091,-0.11817784,0.040361845,-9.04000000002958e-07,0.99999998,0.99999998,0.2976194896778675,-0.8848407252413176
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00199581975,0.00141,3.0,35.0,0.0042,42.0,0.02,0.005605425,0.0206353911881249,63.25475000000001,0.045849713923125,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.077682297,-0.062763409,-0.014919551,-6.630000000083791e-07,0.99890374,0.99890374,0.0337116452434534,-0.4707359324091643
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00153982575,0.00141,3.0,35.0,0.0042,42.0,0.02,0.003501675,0.012191169054375,13.80975,0.020614623350625,0.01,-1.0,0.001,0.01,True,False,False,HEM,0.0,0.077319902,0.045337468,-0.12287649,-0.00021912,0.9979841,0.9979841,0.0492075182813023,0.3416322427134442
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00147073575,0.00141,3.0,35.0,0.0042,42.0,0.02,0.005381025,0.036473798180625,48.421250000000015,0.049819278283125,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.077773255,-0.033542193,-0.044229793,1.2689999999981882e-06,0.99984875,0.99984875,0.0518945246928743,-0.251277766258616
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00188182125,0.00141,3.0,35.0,0.0042,42.0,0.02,0.006615225,0.049465510318125,83.48225,0.020805709528125,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.077869472,-0.16579697,0.087926888,-6.09999999998112e-07,0.9986099,0.9986099,0.2227519568134699,-1.2405156405964002
8500000.0,3800000.0,3300000.0,280000.0,432000.0,0.01,0.01,0.00193018425,0.00141,3.0,35.0,0.0042,42.0,0.02,0.0027162749999999,0.006200508849375,29.09275,0.016479300890625,0.01,-1.0,0.001,0.01,True,True,False,HEM,0.0,0.076967387,0.018459539,-0.095413649,1.32769999999921e-05,0.97992748,0.97992748,0.0549374398622731,0.1397355771492648
